020092,"Thu Oct 21, 2010",10:00 PM ET,LOS ANGELES,PHOENIX
020093,"Fri Oct 22, 2010",7:00 PM ET,CALGARY,COLUMBUS
020094,"Fri Oct 22, 2010",7:30 PM ET,OTTAWA,BUFFALO
020095,"Fri Oct 22, 2010",7:30 PM ET,TAMPA BAY,ATLANTA
020096,"Fri Oct 22, 2010",8:00 PM ET,CHICAGO,ST LOUIS
020097,"Fri Oct 22, 2010",10:00 PM ET,MINNESOTA,VANCOUVER
020098,"Sat Oct 23, 2010",7:00 PM ET,NY RANGERS,BOSTON
020099,"Sat Oct 23, 2010",7:00 PM ET,MONTREAL,OTTAWA
020100,"Sat Oct 23, 2010",7:00 PM ET,BUFFALO,NEW JERSEY
020101,"Sat Oct 23, 2010",7:00 PM ET,TORONTO,PHILADELPHIA
020102,"Sat Oct 23, 2010",7:00 PM ET,ATLANTA,WASHINGTON
020103,"Sat Oct 23, 2010",7:00 PM ET,NY ISLANDERS,FLORIDA
020104,"Sat Oct 23, 2010",7:00 PM ET,ANAHEIM,DETROIT
020105,"Sat Oct 23, 2010",8:00 PM ET,PITTSBURGH,ST LOUIS
020106,"Sat Oct 23, 2010",8:00 PM ET,NASHVILLE,DALLAS
020107,"Sat Oct 23, 2010",8:30 PM ET,COLUMBUS,CHICAGO
020108,"Sat Oct 23, 2010",9:00 PM ET,LOS ANGELES,COLORADO
020109,"Sat Oct 23, 2010",9:00 PM ET,CAROLINA,PHOENIX
020110,"Sat Oct 23, 2010",10:00 PM ET,SAN JOSE,EDMONTON
020111,"Sun Oct 24, 2010",6:00 PM ET,NASHVILLE,TAMPA BAY
020112,"Sun Oct 24, 2010",7:00 PM ET,NEW JERSEY,NY RANGERS
020113,"Sun Oct 24, 2010",8:00 PM ET,SAN JOSE,CALGARY
020114,"Mon Oct 25, 2010",7:00 PM ET,PHILADELPHIA,COLUMBUS
020115,"Mon Oct 25, 2010",7:30 PM ET,PHOENIX,MONTREAL
020116,"Mon Oct 25, 2010",8:00 PM ET,LOS ANGELES,MINNESOTA
020117,"Tue Oct 26, 2010",7:00 PM ET,FLORIDA,TORONTO
020118,"Tue Oct 26, 2010",7:30 PM ET,BUFFALO,PHILADELPHIA
020119,"Tue Oct 26, 2010",7:30 PM ET,PHOENIX,OTTAWA
020120,"Tue Oct 26, 2010",9:00 PM ET,EDMONTON,CALGARY
020121,"Tue Oct 26, 2010",9:00 PM ET,ANAHEIM,DALLAS
020122,"Tue Oct 26, 2010",10:00 PM ET,COLORADO,VANCOUVER
020123,"Wed Oct 27, 2010",7:00 PM ET,ATLANTA,NY RANGERS
020124,"Wed Oct 27, 2010",7:00 PM ET,WASHINGTON,CAROLINA
020125,"Wed Oct 27, 2010",7:30 PM ET,NY ISLANDERS,MONTREAL
020126,"Wed Oct 27, 2010",7:30 PM ET,PITTSBURGH,TAMPA BAY
020127,"Wed Oct 27, 2010",8:30 PM ET,LOS ANGELES,CHICAGO
020128,"Wed Oct 27, 2010",10:30 PM ET,NEW JERSEY,SAN JOSE
020129,"Thu Oct 28, 2010",7:00 PM ET,TORONTO,BOSTON
020130,"Thu Oct 28, 2010",7:00 PM ET,EDMONTON,COLUMBUS
020131,"Thu Oct 28, 2010",7:00 PM ET,FLORIDA,OTTAWA
020132,"Thu Oct 28, 2010",7:30 PM ET,PHOENIX,DETROIT
020133,"Thu Oct 28, 2010",8:00 PM ET,ST LOUIS,NASHVILLE
020134,"Thu Oct 28, 2010",8:00 PM ET,WASHINGTON,MINNESOTA
020135,"Thu Oct 28, 2010",8:30 PM ET,LOS ANGELES,DALLAS
020136,"Thu Oct 28, 2010",9:30 PM ET,COLORADO,CALGARY
020137,"Fri Oct 29, 2010",7:00 PM ET,MONTREAL,NY ISLANDERS
020138,"Fri Oct 29, 2010",7:00 PM ET,CAROLINA,NY RANGERS
020139,"Fri Oct 29, 2010",7:00 PM ET,PHILADELPHIA,PITTSBURGH
020140,"Fri Oct 29, 2010",7:30 PM ET,BUFFALO,ATLANTA
020141,"Fri Oct 29, 2010",8:30 PM ET,EDMONTON,CHICAGO
020142,"Fri Oct 29, 2010",10:00 PM ET,NEW JERSEY,ANAHEIM
020143,"Sat Oct 30, 2010",7:00 PM ET,NY RANGERS,TORONTO
020144,"Sat Oct 30, 2010",7:00 PM ET,FLORIDA,MONTREAL
020145,"Sat Oct 30, 2010",7:00 PM ET,BOSTON,OTTAWA
020146,"Sat Oct 30, 2010",7:00 PM ET,NY ISLANDERS,PHILADELPHIA
020147,"Sat Oct 30, 2010",7:00 PM ET,PITTSBURGH,CAROLINA
020148,"Sat Oct 30, 2010",7:00 PM ET,NASHVILLE,DETROIT
020149,"Sat Oct 30, 2010",8:00 PM ET,ATLANTA,ST LOUIS
020150,"Sat Oct 30, 2010",8:00 PM ET,CHICAGO,MINNESOTA
